No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---
103;Perfumes;Chanel;Chanel Allure Sensuelle EDP W 50 ml;50 ml;95.59;154.95;59.36;38.3%;23;DST60123;3145891297201;Chanel - chanel no.5 edp w;;
104;Perfumes;Chanel;Chanel Allure EDP W 50 ml;50 ml;103.65;169.95;66.30;39.0%;4;DST388859;3145891124309;Chanel - chanel no.5 edp w;;
105;Perfumes;Chanel;Chanel No.5 EDP W 50 ml;50 ml;108.57;174.95;66.38;37.9%;28;DST845965;3145891254303;Chanel - chanel no.5 edp w;;
106;Perfumes;Chanel;Chanel Coco Noir EDP W 50 ml;50 ml;112.36;179.95;67.59;37.6%;3;DST381908;3145891136500;Chanel - chanel no.5 edp w;;
107;Perfumes;Chanel;Chanel Gabrielle EDP W 50 ml;50 ml;114.25;184.95;70.70;38.2%;5;DST388984;3145891204254;Chanel - chanel no.5 edp w;;
108;Perfumes;Chanel;Chanel No.5 L'Eau EDT W 50 ml;50 ml;114.90;184.95;70.05;37.9%;3;DST846734;3145891055207;Chanel - chanel no.5 edp w;;
109;Perfumes;Chanel;Chanel Gabrielle Essence EDP W 50 ml;50 ml;118.48;189.95;71.47;37.6%;13;DST153134;3145891206203;Chanel - chanel no.5 edp w;;
110;Perfumes;Chanel;Chanel Allure Sensuelle EDT W 100 ml;100 ml;112.45;179.95;67.50;37.5%;342;DST60936;3145891294606;Chanel - chanel no.5 edp w;;
111;Perfumes;Chanel;Chanel Coco EDT W 100 ml;100 ml;116.00;189.95;73.95;38.9%;20;DST155390;3145891234602;Chanel - chanel no.5 edp w;;
112;Perfumes;Chanel;Chanel No.19 EDP W 100 ml;100 ml;122.60;199.95;77.35;38.7%;451;DST186643;3145891195309;Chanel - chanel no.5 edp w;;
113;Perfumes;Chanel;Chanel Coco Mademoiselle EDT W 100 ml;100 ml;132.48;214.95;82.47;38.4%;4;DST58580;3145891164602;Chanel - chanel no.5 edp w;;
114;Perfumes;Chanel;Chanel Chance EDT W 100 ml;100 ml;133.90;214.95;81.05;37.7%;3;DST58452;3145891264609;Chanel - chanel no.5 edp w;;
